OPERA,MES,TIPOVUELO,SIGLADES,DIANOM,atraso_15
Grupo LATAM,9,I,Guayaquil,Sabado,0
Sky Airline,3,N,Calama,Miercoles,0
Grupo LATAM,10,N,Temuco,Martes,0
Grupo LATAM,12,I,Bogota,Lunes,0
Sky Airline,1,I,Cordoba,Sabado,0
JetSmart SPA,10,N,Copiapo,Viernes,0
Grupo LATAM,5,I,Sao Paulo,Miercoles,1
Sky Airline,2,N,Iquique,Martes,1
Copa Air,7,I,Ciudad de Panama,Miercoles,0
Gol Trans,7,I,Sao Paulo,Sabado,0
JetSmart SPA,10,N,Antofagasta,Domingo,1
Sky Airline,12,N,Antofagasta,Jueves,0
Grupo LATAM,10,I,Cordoba,Domingo,0
Copa Air,11,I,Ciudad de Panama,Viernes,0
Grupo LATAM,12,I,Sao Paulo,Martes,0
Grupo LATAM,7,N,Iquique,Domingo,0
Sky Airline,5,N,Arica,Jueves,1
JetSmart SPA,8,N,Antofagasta,Lunes,0
Sky Airline,11,N,Copiapo,Martes,0
Grupo LATAM,3,I,Lima,Viernes,0
Grupo LATAM,4,N,Puerto Montt,Jueves,0
Grupo LATAM,9,I,Sao Paulo,Jueves,0
Grupo LATAM,12,I,Lima,Lunes,0
Grupo LATAM,11,I,Bogota,Martes,0
Grupo LATAM,6,I,Rio de Janeiro,Miercoles,1
Grupo LATAM,12,N,Calama,Lunes,0
Grupo LATAM,5,N,Punta Arenas,Miercoles,0
Grupo LATAM,4,N,Calama,Viernes,0
Sky Airline,8,N,Puerto Montt,Jueves,0
Grupo LATAM,7,I,Sao Paulo,Lunes,0
Copa Air,12,I,Ciudad de Panama,Lunes,0
Grupo LATAM,3,I,Mendoza,Jueves,1
JetSmart SPA,11,N,Puerto Montt,Martes,0
Grupo LATAM,4,I,Lima,Sabado,0
Sky Airline,8,N,Arica,Martes,0
Copa Air,2,I,Ciudad de Panama,Miercoles,0
Grupo LATAM,8,N,Temuco,Martes,0
Grupo LATAM,7,I,Auckland N.Z.,Domingo,0
Aerolineas Argentinas,12,I,Buenos Aires,Sabado,0
Aerolineas Argentinas,8,I,Buenos Aires,Jueves,0
Sky Airline,7,I,Cordoba,Martes,1
Grupo LATAM,5,N,Punta Arenas,Lunes,0
Grupo LATAM,9,N,Antofagasta,Martes,1
Grupo LATAM,11,I,Mendoza,Martes,0
Avianca,5,I,Bogota,Sabado,0
Grupo LATAM,9,N,Iquique,Viernes,0
Sky Airline,5,N,Calama,Jueves,0
Grupo LATAM,1,I,Montevideo,Martes,0
Sky Airline,10,N,Antofagasta,Miercoles,0
Avianca,4,I,Lima,Sabado,0
Grupo LATAM,5,N,Arica,Lunes,0
Grupo LATAM,8,I,Rio de Janeiro,Domingo,0
Grupo LATAM,6,N,La Serena,Viernes,1
Grupo LATAM,2,I,Buenos Aires,Jueves,1
Grupo LATAM,5,N,Iquique,Miercoles,0
Delta Air,8,I,Atlanta,Domingo,0
Grupo LATAM,10,N,Temuco,Jueves,0
Sky Airline,9,N,Antofagasta,Domingo,0
Grupo LATAM,5,I,Bogota,Sabado,0
Sky Airline,3,N,Puerto Montt,Jueves,1
Grupo LATAM,9,N,Antofagasta,Sabado,0
American Airlines,7,I,Dallas,Martes,0
Grupo LATAM,5,N,Isla de Pascua,Miercoles,0
Grupo LATAM,12,N,Calama,Sabado,0
Grupo LATAM,2,N,Iquique,Jueves,0
Sky Airline,6,N,Antofagasta,Miercoles,1
Sky Airline,11,N,Puerto Montt,Lunes,0
Grupo LATAM,11,N,Punta Arenas,Sabado,0
Gol Trans,8,I,Sao Paulo,Martes,0
Sky Airline,9,I,Cordoba,Domingo,0
Grupo LATAM,7,I,Montevideo,Viernes,1
Air France,12,I,Paris,Sabado,1
Grupo LATAM,5,N,Isla de Pascua,Lunes,0
Grupo LATAM,4,N,Calama,Jueves,0
Grupo LATAM,5,I,Sao Paulo,Lunes,0
Sky Airline,12,N,Antofagasta,Sabado,1
Grupo LATAM,11,I,Buenos Aires,Miercoles,0
Avianca,10,I,Bogota,Lunes,0
Grupo LATAM,6,I,Buenos Aires,Sabado,0
Iberia,11,I,Madrid,Domingo,0
Grupo LATAM,7,N,Antofagasta,Jueves,0
Grupo LATAM,9,N,La Serena,Domingo,0
Aeromexico,5,I,Ciudad de Mexico,Martes,0
Sky Airline,10,N,Puerto Montt,Lunes,0
Sky Airline,3,N,Valdivia,Lunes,0
Sky Airline,3,N,Iquique,Miercoles,0
Sky Airline,6,I,Mendoza,Lunes,1
Grupo LATAM,9,N,Puerto Montt,Viernes,1
Grupo LATAM,11,N,Antofagasta,Domingo,0
Grupo LATAM,6,N,Calama,Martes,0
Grupo LATAM,12,I,Nueva York,Miercoles,0
Aeromexico,4,I,Ciudad de Mexico,Jueves,0
Grupo LATAM,7,N,Antofagasta,Sabado,0
Sky Airline,4,N,Puerto Montt,Viernes,0
Grupo LATAM,10,I,Sao Paulo,Lunes,0
Gol Trans,11,I,Sao Paulo,Miercoles,1
Latin American Wings,5,I,Lima,Domingo,0
Copa Air,2,I,Ciudad de Panama,Domingo,0
Grupo LATAM,11,N,Concepcion,Martes,0
Grupo LATAM,12,I,Lima,Miercoles,0
Sky Airline,11,N,Arica,Martes,0
Grupo LATAM,4,N,Antofagasta,Lunes,0
Grupo LATAM,6,N,Temuco,Domingo,0
Grupo LATAM,6,N,Calama,Jueves,0
JetSmart SPA,11,N,Temuco,Viernes,0
Avianca,7,I,Bogota,Domingo,0
Grupo LATAM,5,I,Buenos Aires,Sabado,0
Grupo LATAM,3,N,Puerto Montt,Viernes,0
Grupo LATAM,10,N,La Serena,Miercoles,0
Grupo LATAM,5,N,Calama,Lunes,1
Sky Airline,1,N,Iquique,Jueves,0
Grupo LATAM,10,N,Antofagasta,Lunes,0
Sky Airline,5,I,Buenos Aires,Domingo,0
Grupo LATAM,11,N,Arica,Jueves,0
Sky Airline,6,N,Antofagasta,Martes,0
Latin American Wings,7,I,Lima,Lunes,1
Grupo LATAM,12,I,Sao Paulo,Lunes,0
Alitalia,2,I,Roma,Martes,0
Aerolineas Argentinas,4,I,Buenos Aires,Domingo,0
Grupo LATAM,4,I,Madrid,Jueves,0
Grupo LATAM,10,I,Asuncion,Martes,0
Grupo LATAM,11,N,Iquique,Martes,0
Grupo LATAM,12,N,Puerto Montt,Martes,0
Grupo LATAM,11,I,Lima,Jueves,0
Sky Airline,6,I,Buenos Aires,Viernes,0
Grupo LATAM,1,N,Copiapo,Martes,0
Grupo LATAM,4,I,Sao Paulo,Sabado,0
Grupo LATAM,10,N,Puerto Montt,Lunes,1
Grupo LATAM,4,I,Lima,Domingo,0
Grupo LATAM,3,I,Rio de Janeiro,Jueves,0
Sky Airline,5,I,Lima,Sabado,0
Grupo LATAM,12,N,La Serena,Viernes,1
Grupo LATAM,11,I,Guayaquil,Domingo,1
Grupo LATAM,7,N,Temuco,Lunes,0
Grupo LATAM,2,N,Iquique,Jueves,0
JetSmart SPA,12,N,Copiapo,Domingo,0
Sky Airline,8,N,Antofagasta,Martes,0
Grupo LATAM,2,I,Sao Paulo,Viernes,0
Grupo LATAM,9,N,Calama,Jueves,0
Grupo LATAM,10,N,Calama,Miercoles,0
Grupo LATAM,10,N,Antofagasta,Miercoles,0
Grupo LATAM,12,N,Concepcion,Miercoles,1
Grupo LATAM,3,N,Temuco,Domingo,0
United Airlines,2,I,Houston,Martes,0
Grupo LATAM,7,I,Buenos Aires,Miercoles,1
Grupo LATAM,7,N,Calama,Jueves,0
Grupo LATAM,3,N,Arica,Viernes,0
Sky Airline,6,N,Arica,Jueves,0
Avianca,2,I,Bogota,Sabado,1
Grupo LATAM,3,N,Iquique,Martes,0
Grupo LATAM,2,N,Arica,Viernes,0
Sky Airline,9,N,Osorno,Jueves,0
Grupo LATAM,1,N,Calama,Martes,0
Grupo LATAM,8,I,Cordoba,Domingo,0
Grupo LATAM,11,I,Lima,Miercoles,0
Sky Airline,5,I,Lima,Martes,0
Grupo LATAM,6,I,Madrid,Viernes,0
Sky Airline,10,N,Temuco,Viernes,0
Grupo LATAM,3,I,Miami,Jueves,0
Grupo LATAM,4,I,Buenos Aires,Miercoles,0
Grupo LATAM,1,N,Temuco,Domingo,0
Grupo LATAM,4,I,Auckland N.Z.,Domingo,1
Grupo LATAM,5,N,La Serena,Miercoles,0
Grupo LATAM,12,N,Iquique,Domingo,0
Aerolineas Argentinas,5,I,Buenos Aires,Sabado,0
Grupo LATAM,8,I,Guayaquil,Viernes,0
Grupo LATAM,12,N,Calama,Lunes,0
Grupo LATAM,10,N,Copiapo,Lunes,0
Sky Airline,8,N,Punta Arenas,Martes,0
Copa Air,12,I,Ciudad de Panama,Martes,0
Grupo LATAM,6,I,Bogota,Miercoles,0
Grupo LATAM,10,I,Buenos Aires,Viernes,0
Grupo LATAM,6,N,Temuco,Miercoles,1
Sky Airline,1,N,Iquique,Martes,0
JetSmart SPA,11,N,Puerto Montt,Domingo,0
Grupo LATAM,2,N,Punta Arenas,Lunes,0
Avianca,10,I,Bogota,Miercoles,1
Sky Airline,6,N,Antofagasta,Miercoles,0
Sky Airline,5,N,Copiapo,Martes,1
Grupo LATAM,12,N,Puerto Montt,Jueves,1
Iberia,7,I,Madrid,Miercoles,0
Grupo LATAM,9,I,Ciudad de Mexico,Viernes,0
Grupo LATAM,7,N,Puerto Montt,Viernes,0
Grupo LATAM,1,I,Sao Paulo,Martes,0
Grupo LATAM,2,N,Antofagasta,Martes,0
Sky Airline,4,N,Antofagasta,Martes,1
JetSmart SPA,10,N,Temuco,Jueves,1
Grupo LATAM,1,N,Castro (Chiloe),Sabado,0
Grupo LATAM,10,I,Bogota,Sabado,1
Grupo LATAM,7,N,La Serena,Lunes,0
Grupo LATAM,7,N,Arica,Miercoles,0
Sky Airline,5,I,Buenos Aires,Martes,1
Aerolineas Argentinas,6,I,Buenos Aires,Martes,0
Grupo LATAM,4,N,Iquique,Jueves,0
Grupo LATAM,1,I,Sao Paulo,Domingo,0
Grupo LATAM,1,N,Iquique,Lunes,0
Grupo LATAM,5,N,La Serena,Miercoles,0
Grupo LATAM,8,I,Buenos Aires,Jueves,0
Grupo LATAM,7,N,Antofagasta,Martes,0
Grupo LATAM,1,I,Lima,Jueves,0
Grupo LATAM,12,I,Florianapolis,Lunes,0
Sky Airline,8,N,Calama,Domingo,0
Grupo LATAM,8,N,Isla de Pascua,Miercoles,0
Grupo LATAM,7,N,Iquique,Domingo,1
Grupo LATAM,5,N,Punta Arenas,Miercoles,0
Sky Airline,3,I,Montevideo,Jueves,0
Copa Air,5,I,Ciudad de Panama,Martes,0
Grupo LATAM,12,I,Lima,Miercoles,1
Grupo LATAM,6,I,Cordoba,Viernes,0
Copa Air,6,I,Ciudad de Panama,Miercoles,0
Sky Airline,5,N,Temuco,Lunes,0
Gol Trans,1,I,Sao Paulo,Sabado,1
Latin American Wings,7,N,Concepcion,Viernes,0
Grupo LATAM,8,N,Iquique,Sabado,0
Aeromexico,1,I,Ciudad de Mexico,Martes,0
Grupo LATAM,6,N,Calama,Miercoles,0
Grupo LATAM,10,I,Lima,Martes,0
Sky Airline,1,N,Calama,Domingo,0
Grupo LATAM,9,I,Buenos Aires,Domingo,0
Sky Airline,3,N,Calama,Domingo,1
Grupo LATAM,7,I,Punta Cana,Domingo,1
Grupo LATAM,6,I,Montevideo,Sabado,0
Grupo LATAM,7,I,Sao Paulo,Viernes,0
Grupo LATAM,1,N,Punta Arenas,Miercoles,0
Grupo LATAM,4,N,Calama,Lunes,0
Grupo LATAM,2,I,Montevideo,Lunes,1
Grupo LATAM,1,N,Arica,Viernes,0
Grupo LATAM,10,I,Miami,Sabado,0
Grupo LATAM,4,I,Nueva York,Viernes,0
Grupo LATAM,5,I,Sao Paulo,Jueves,0
Grupo LATAM,1,I,Cordoba,Martes,0
Sky Airline,1,N,Puerto Montt,Jueves,0
Qantas Airways,6,I,Sydney,Viernes,0
Grupo LATAM,10,N,Arica,Miercoles,0
Grupo LATAM,1,I,Miami,Viernes,0
Grupo LATAM,7,I,Lima,Martes,0
Grupo LATAM,1,N,Antofagasta,Lunes,0
Grupo LATAM,5,N,Temuco,Domingo,0
Grupo LATAM,8,N,La Serena,Domingo,0
Latin American Wings,6,I,Lima,Jueves,0
Grupo LATAM,4,N,Iquique,Lunes,0
Alitalia,9,I,Roma,Viernes,0
Iberia,11,I,Madrid,Lunes,0
Grupo LATAM,3,I,Cordoba,Lunes,0
Latin American Wings,5,N,Puerto Montt,Jueves,0
Sky Airline,7,N,Temuco,Domingo,1
Sky Airline,1,N,Balmaceda,Miercoles,0
Grupo LATAM,12,N,Antofagasta,Jueves,0
Grupo LATAM,8,N,Calama,Domingo,0
Sky Airline,7,N,Concepcion,Jueves,0
Aerolineas Argentinas,7,I,Buenos Aires,Viernes,0
JetSmart SPA,9,N,Calama,Jueves,0
Sky Airline,4,N,Temuco,Lunes,1
Grupo LATAM,6,N,Copiapo,Lunes,1
Sky Airline,11,I,Cordoba,Sabado,0
Grupo LATAM,7,N,Puerto Montt,Martes,1
Gol Trans,4,I,Sao Paulo,Domingo,1
United Airlines,7,I,Houston,Miercoles,0
American Airlines,5,I,Miami,Martes,0
Grupo LATAM,3,N,Antofagasta,Viernes,0
Grupo LATAM,8,N,Balmaceda,Lunes,1
Grupo LATAM,7,N,Punta Arenas,Sabado,0
Aerolineas Argentinas,11,I,Buenos Aires,Domingo,0
Grupo LATAM,7,I,Rio de Janeiro,Viernes,1
Copa Air,1,I,Ciudad de Panama,Domingo,1
Latin American Wings,12,I,Lima,Sabado,0
Grupo LATAM,7,N,Arica,Domingo,1
Grupo LATAM,10,N,Antofagasta,Jueves,0
Grupo LATAM,4,N,Castro (Chiloe),Domingo,1
Grupo LATAM,11,N,Puerto Montt,Jueves,0
Iberia,11,I,Madrid,Jueves,0
Grupo LATAM,11,N,Antofagasta,Martes,0
K.L.M.,12,I,Buenos Aires,Miercoles,0
Avianca,4,I,Lima,Martes,0
Grupo LATAM,1,I,Sao Paulo,Domingo,0
Sky Airline,8,I,Buenos Aires,Viernes,1
Sky Airline,1,N,Copiapo,Viernes,0
Latin American Wings,5,I,Lima,Lunes,0
K.L.M.,3,I,Buenos Aires,Jueves,1
Grupo LATAM,3,N,Punta Arenas,Jueves,0
Delta Air,7,I,Atlanta,Viernes,0
Grupo LATAM,3,N,Iquique,Lunes,0
Grupo LATAM,5,N,Calama,Martes,0
Grupo LATAM,4,N,Calama,Jueves,0
Latin American Wings,9,I,Mendoza,Jueves,1
Grupo LATAM,7,I,Rio de Janeiro,Miercoles,1
Grupo LATAM,6,N,Calama,Miercoles,0
Sky Airline,5,I,Montevideo,Viernes,0
Aerolineas Argentinas,11,I,Buenos Aires,Martes,0
Grupo LATAM,10,N,Arica,Miercoles,0
Grupo LATAM,5,I,Rio de Janeiro,Domingo,1
Grupo LATAM,5,I,Lima,Sabado,0
Grupo LATAM,6,N,Antofagasta,Lunes,0
Grupo LATAM,8,N,Iquique,Martes,0
Grupo LATAM,7,I,Buenos Aires,Viernes,0
Grupo LATAM,3,N,Puerto Montt,Domingo,1
Oceanair Linhas Aereas,11,I,Sao Paulo,Lunes,0
Gol Trans,9,I,Sao Paulo,Viernes,1
Qantas Airways,6,I,Sydney,Miercoles,1
Grupo LATAM,3,I,Buenos Aires,Jueves,0
Grupo LATAM,11,N,Temuco,Lunes,0
Grupo LATAM,10,N,Antofagasta,Martes,1
Grupo LATAM,10,N,Valdivia,Viernes,1
Grupo LATAM,10,I,Buenos Aires,Martes,1
Grupo LATAM,12,N,La Serena,Domingo,0
Grupo LATAM,1,I,Ciudad de Mexico,Sabado,0
Sky Airline,2,N,La Serena,Jueves,0
Sky Airline,11,N,Osorno,Miercoles,0
Grupo LATAM,2,N,Punta Arenas,Sabado,0
Grupo LATAM,5,I,Buenos Aires,Lunes,1
United Airlines,9,I,Houston,Jueves,0
Grupo LATAM,9,I,Rosario,Sabado,0
Avianca,11,I,Lima,Jueves,0
Grupo LATAM,7,I,Miami,Sabado,0
Grupo LATAM,2,N,Punta Arenas,Viernes,0
Grupo LATAM,11,N,Isla de Pascua,Martes,0
Grupo LATAM,8,I,Sao Paulo,Jueves,1
Grupo LATAM,4,N,Antofagasta,Miercoles,0
Grupo LATAM,8,N,Antofagasta,Lunes,0
Grupo LATAM,5,N,Balmaceda,Lunes,0
Grupo LATAM,9,I,Cordoba,Miercoles,1
Grupo LATAM,8,N,Temuco,Jueves,0
Aerolineas Argentinas,7,I,Buenos Aires,Lunes,0
Grupo LATAM,7,N,Calama,Viernes,0
Latin American Wings,6,I,Lima,Sabado,0
Grupo LATAM,5,I,La Paz,Martes,0
Grupo LATAM,6,I,Lima,Viernes,0
Sky Airline,7,I,Mendoza,Miercoles,0
Grupo LATAM,9,I,Lima,Martes,0
Grupo LATAM,8,I,Rio de Janeiro,Viernes,1
Grupo LATAM,5,N,Concepcion,Martes,0
Grupo LATAM,6,I,Cordoba,Domingo,0
Grupo LATAM,4,N,Antofagasta,Jueves,0
Copa Air,3,I,Ciudad de Panama,Viernes,0
Grupo LATAM,2,I,Cordoba,Lunes,0
Sky Airline,3,N,Antofagasta,Martes,0
Grupo LATAM,8,N,Concepcion,Viernes,0
Air France,5,I,Paris,Jueves,1
JetSmart SPA,10,N,Calama,Lunes,0
Grupo LATAM,10,I,Sao Paulo,Miercoles,0
Grupo LATAM,3,N,Temuco,Miercoles,0
Sky Airline,10,N,Arica,Martes,0
Grupo LATAM,10,N,Puerto Montt,Jueves,0
Grupo LATAM,8,N,Concepcion,Viernes,0
Grupo LATAM,12,I,Lima,Viernes,0
Grupo LATAM,11,N,Iquique,Domingo,1
Aeromexico,1,I,Ciudad de Mexico,Sabado,1
Gol Trans,10,I,Sao Paulo,Domingo,0
Sky Airline,5,N,Temuco,Sabado,0
Grupo LATAM,12,N,Concepcion,Domingo,0
Grupo LATAM,4,I,Lima,Lunes,0
Grupo LATAM,9,I,Buenos Aires,Viernes,1
Grupo LATAM,11,I,Lima,Lunes,0
British Airways,10,I,Londres,Viernes,0
Grupo LATAM,8,I,Buenos Aires,Domingo,0
Grupo LATAM,6,N,Calama,Miercoles,0
Grupo LATAM,1,N,La Serena,Viernes,0
Grupo LATAM,2,N,Concepcion,Viernes,0
Grupo LATAM,1,I,Rio de Janeiro,Miercoles,0
Grupo LATAM,12,N,Puerto Montt,Domingo,0
Grupo LATAM,9,N,Punta Arenas,Sabado,0
Grupo LATAM,3,I,Cordoba,Domingo,0
Sky Airline,4,N,Antofagasta,Lunes,0
Sky Airline,8,N,La Serena,Miercoles,0
Sky Airline,7,N,Concepcion,Jueves,0
Grupo LATAM,2,N,Puerto Montt,Sabado,1
Grupo LATAM,1,N,Calama,Jueves,0
Sky Airline,7,N,Antofagasta,Sabado,0
Grupo LATAM,12,I,Lima,Viernes,1
Sky Airline,10,N,Copiapo,Viernes,1
Grupo LATAM,1,N,Balmaceda,Domingo,0
Grupo LATAM,10,I,Buenos Aires,Jueves,1
Copa Air,3,I,Ciudad de Panama,Martes,0
Sky Airline,6,I,Buenos Aires,Jueves,0
Sky Airline,1,I,Lima,Jueves,0
Copa Air,1,I,Ciudad de Panama,Jueves,0
Grupo LATAM,1,N,Antofagasta,Martes,0
Grupo LATAM,6,N,Puerto Montt,Domingo,0
Aerolineas Argentinas,8,I,Buenos Aires,Viernes,0
Grupo LATAM,8,I,Buenos Aires,Miercoles,0
JetSmart SPA,11,N,Temuco,Jueves,1
Grupo LATAM,8,N,Iquique,Martes,0
Sky Airline,12,N,Balmaceda,Lunes,0
Grupo LATAM,3,N,Balmaceda,Sabado,0
Grupo LATAM,10,I,Mendoza,Domingo,1
Latin American Wings,10,I,Lima,Miercoles,0
Aerolineas Argentinas,6,I,Buenos Aires,Domingo,0
Grupo LATAM,11,I,Lima,Sabado,0
Sky Airline,8,N,Arica,Jueves,0
Sky Airline,8,N,Antofagasta,Miercoles,0
Grupo LATAM,8,I,Buenos Aires,Miercoles,0
Grupo LATAM,1,N,Antofagasta,Domingo,0
Sky Airline,8,N,Arica,Sabado,0
Grupo LATAM,11,N,Calama,Martes,0
Grupo LATAM,7,N,Concepcion,Domingo,0
Grupo LATAM,9,N,Calama,Lunes,0
JetSmart SPA,12,N,La Serena,Miercoles,1
Grupo LATAM,11,N,La Serena,Jueves,0
Sky Airline,1,N,Iquique,Viernes,1
Sky Airline,12,N,Calama,Domingo,0
Grupo LATAM,5,N,Calama,Jueves,0
Grupo LATAM,11,N,Antofagasta,Miercoles,1
Alitalia,5,I,Roma,Martes,0
Sky Airline,4,N,Calama,Miercoles,1
Sky Airline,2,N,Puerto Montt,Lunes,0
Grupo LATAM,3,N,Puerto Montt,Martes,0
Sky Airline,9,N,Calama,Sabado,0
Sky Airline,10,N,Puerto Montt,Viernes,0
Sky Airline,10,N,Puerto Montt,Viernes,0
Sky Airline,12,I,Buenos Aires,Miercoles,0
Grupo LATAM,11,N,Concepcion,Martes,0
Sky Airline,9,N,Arica,Martes,0
Sky Airline,7,N,Arica,Sabado,0
Grupo LATAM,4,N,Punta Arenas,Miercoles,0
Grupo LATAM,9,I,Miami,Miercoles,0
Grupo LATAM,8,N,Antofagasta,Viernes,1
Sky Airline,12,I,Buenos Aires,Lunes,0
Sky Airline,1,I,Lima,Sabado,0
Grupo LATAM,10,N,Copiapo,Sabado,1
Sky Airline,11,N,Puerto Montt,Lunes,1
Grupo LATAM,8,N,Iquique,Viernes,0
Grupo LATAM,11,N,Antofagasta,Domingo,0
Grupo LATAM,2,N,Punta Arenas,Sabado,0
Grupo LATAM,8,I,Lima,Miercoles,0
Copa Air,7,I,Ciudad de Panama,Lunes,0
Sky Airline,12,N,Puerto Montt,Lunes,0
Sky Airline,9,I,Mendoza,Martes,0
Grupo LATAM,2,N,Puerto Montt,Sabado,0
Aerolineas Argentinas,6,I,Buenos Aires,Jueves,0
Grupo LATAM,2,I,Buenos Aires,Miercoles,1
Sky Airline,7,N,Calama,Miercoles,0
Sky Airline,2,I,Cordoba,Sabado,1
Grupo LATAM,7,I,Auckland N.Z.,Sabado,1
Sky Airline,12,N,Balmaceda,Jueves,1
Sky Airline,8,N,Calama,Jueves,0
Grupo LATAM,2,I,Guayaquil,Viernes,0
Grupo LATAM,11,I,La Paz,Viernes,0
Sky Airline,3,N,Concepcion,Sabado,0
Grupo LATAM,5,N,Concepcion,Viernes,0
Grupo LATAM,4,I,Madrid,Sabado,0
Grupo LATAM,7,N,Calama,Miercoles,1
Grupo LATAM,2,N,Iquique,Jueves,0
Grupo LATAM,6,N,Temuco,Sabado,0
Aerolineas Argentinas,10,I,Buenos Aires,Sabado,0
Grupo LATAM,8,N,Calama,Martes,0
Sky Airline,11,N,Puerto Montt,Domingo,0
Grupo LATAM,6,N,Punta Arenas,Domingo,0
Grupo LATAM,2,N,Antofagasta,Lunes,0
Sky Airline,4,N,Iquique,Martes,0
Grupo LATAM,2,N,La Serena,Jueves,0
Grupo LATAM,3,N,Punta Arenas,Viernes,0
Copa Air,12,I,Ciudad de Panama,Viernes,0
Grupo LATAM,10,N,Copiapo,Martes,1
Grupo LATAM,11,N,Calama,Sabado,0
Aerolineas Argentinas,10,I,Buenos Aires,Jueves,0
Grupo LATAM,10,N,Antofagasta,Miercoles,0
Copa Air,12,I,Ciudad de Panama,Miercoles,0
Grupo LATAM,9,I,Auckland N.Z.,Sabado,0
Grupo LATAM,7,I,Sao Paulo,Sabado,0
Grupo LATAM,4,N,Iquique,Sabado,0
Grupo LATAM,4,N,Punta Arenas,Miercoles,1
Grupo LATAM,4,I,Nueva York,Lunes,0
Grupo LATAM,8,N,Temuco,Viernes,0
Grupo LATAM,3,I,Guayaquil,Lunes,0
Grupo LATAM,5,N,La Serena,Jueves,0
Grupo LATAM,6,I,Buenos Aires,Jueves,0
Latin American Wings,11,I,Lima,Viernes,0
Grupo LATAM,11,N,Antofagasta,Lunes,0
Grupo LATAM,11,I,Montevideo,Sabado,0
Copa Air,10,I,Ciudad de Panama,Sabado,0
Aeromexico,12,I,Ciudad de Mexico,Lunes,0
Grupo LATAM,2,I,Lima,Viernes,0
Grupo LATAM,11,N,Antofagasta,Miercoles,0
Grupo LATAM,7,I,Lima,Sabado,0
Grupo LATAM,12,N,Punta Arenas,Miercoles,0
Grupo LATAM,1,N,Calama,Domingo,0
Grupo LATAM,4,N,Iquique,Martes,0
Grupo LATAM,12,I,Buenos Aires,Miercoles,0
Grupo LATAM,11,I,Sao Paulo,Domingo,0
Grupo LATAM,4,I,Ciudad de Mexico,Viernes,0
Grupo LATAM,4,N,Balmaceda,Lunes,0
Sky Airline,8,N,Copiapo,Miercoles,0
Grupo LATAM,4,I,Mendoza,Lunes,0
Grupo LATAM,10,I,Guayaquil,Miercoles,1
Grupo LATAM,4,I,Mendoza,Sabado,0
Grupo LATAM,3,N,Concepcion,Miercoles,0
Grupo LATAM,5,N,Balmaceda,Lunes,0
Aerolineas Argentinas,7,I,Buenos Aires,Lunes,1
Sky Airline,3,I,Lima,Viernes,0
Sky Airline,9,I,Buenos Aires,Sabado,0
Grupo LATAM,1,N,Temuco,Jueves,0
British Airways,2,I,Londres,Jueves,0
Sky Airline,12,N,Calama,Viernes,0
Grupo LATAM,3,N,Puerto Montt,Domingo,0
Sky Airline,12,N,Antofagasta,Lunes,1
Grupo LATAM,3,N,Temuco,Jueves,0
Lacsa,12,I,Lima,Viernes,0
JetSmart SPA,12,N,Calama,Jueves,0
Grupo LATAM,12,N,Calama,Sabado,0
United Airlines,5,I,Houston,Lunes,0
Grupo LATAM,8,N,Calama,Jueves,0
Sky Airline,9,N,Calama,Viernes,1
Grupo LATAM,6,N,Iquique,Miercoles,0
Grupo LATAM,9,I,Mendoza,Lunes,1
Grupo LATAM,3,N,Temuco,Jueves,0
Grupo LATAM,5,I,Buenos Aires,Miercoles,0
Sky Airline,1,I,Montevideo,Miercoles,0
Grupo LATAM,4,I,Mendoza,Martes,0
Oceanair Linhas Aereas,8,I,Sao Paulo,Sabado,0
Aerolineas Argentinas,6,I,Buenos Aires,Viernes,1
Grupo LATAM,7,N,Concepcion,Jueves,1
Latin American Wings,11,N,Antofagasta,Jueves,0
Sky Airline,11,I,Lima,Lunes,0
Grupo LATAM,7,N,Concepcion,Domingo,0
Grupo LATAM,7,N,Punta Arenas,Lunes,0
Grupo LATAM,9,I,Sao Paulo,Miercoles,0
Grupo LATAM,6,N,Antofagasta,Jueves,0
Grupo LATAM,6,I,Sao Paulo,Domingo,0
Grupo LATAM,9,I,Miami,Miercoles,0
Grupo LATAM,4,N,Valdivia,Viernes,1
Grupo LATAM,9,I,Lima,Sabado,0
Grupo LATAM,10,I,Rio de Janeiro,Domingo,0
Sky Airline,4,N,Arica,Miercoles,0
Grupo LATAM,9,I,Buenos Aires,Viernes,0
Grupo LATAM,11,I,Sao Paulo,Miercoles,0
British Airways,7,I,Londres,Martes,0
Grupo LATAM,6,I,Mendoza,Viernes,1
Grupo LATAM,2,N,Puerto Montt,Sabado,0
Grupo LATAM,8,N,Calama,Miercoles,0
Grupo LATAM,9,N,Balmaceda,Lunes,0
Grupo LATAM,11,N,Arica,Domingo,0
Grupo LATAM,10,N,Calama,Miercoles,0
Sky Airline,8,N,Iquique,Domingo,0
Grupo LATAM,8,N,Calama,Miercoles,0
Grupo LATAM,11,I,Lima,Viernes,0
American Airlines,3,I,Dallas,Sabado,0
Grupo LATAM,12,N,Antofagasta,Miercoles,0
Grupo LATAM,4,I,Guayaquil,Viernes,1
Sky Airline,2,N,Punta Arenas,Lunes,0
Sky Airline,8,N,Temuco,Viernes,0
Grupo LATAM,1,I,Rio de Janeiro,Miercoles,0
Grupo LATAM,3,N,Isla de Pascua,Miercoles,0
Sky Airline,3,N,Temuco,Domingo,0
Sky Airline,8,N,Concepcion,Jueves,0
